page_id,name,page_created,page_type,count,fb,wel_opens,wel_clicks,wel_acts,opens_14day,clicks_14day,acts_14day,num_donations_14day,amt_donations_14day,num_recur_14day,amt_recur_14day,usa,can,uk,aus,nz,nuk_eur,row,en,de,fr,acts_90day,num_donations_90day,amt_donations_90day
11401,lidl-gaspillage-emballage,2016-02-15 03:46:14,Petition,1679,580,1075,573,512,2486,1116,1381,"","","","",4,6,7,0,0,1644,18,147,0,1532,2321,4,22.53
11372,Lidl-Nachhaltigkeit-de,2016-02-12 11:31:56,Petition,2171,1087,1569,1045,957,3434,1966,2141,1,11.02,"","",6,1,5,0,1,2151,7,269,1902,0,3857,3,43.94
11360,lidl-cut-the-crap,2016-02-11 16:21:02,Petition,1597,915,1172,273,220,2620,582,912,23,306.96,"","",14,10,492,5,0,1064,12,1570,9,18,1732,67,691.94
11348,privatised-prisons,2016-02-10 12:40:20,Petition,684,641,317,53,51,834,116,122,1,2.85,"","",0,1,676,2,0,5,0,683,0,1,264,4,22.67
11244,ttip-feb-2016,2016-02-05 14:37:25,Donation,61,2,50,14,15,112,22,83,70,623.15,1,4.34,0,0,39,0,0,22,0,60,1,0,161,82,784.86
11232,bt-snoopers-charter,2016-02-04 12:57:58,Petition,961,420,557,174,169,1557,393,855,14,74.87,"","",4,3,936,3,0,12,3,960,0,1,1467,38,273.87
11220,scottish-government-electronics-watch,2016-02-03 14:02:25,Petition,56,14,39,12,12,107,33,66,"","","","",0,0,31,0,0,24,1,56,0,0,129,2,11.49
11203,hmrc-job-advert,2016-02-02 10:46:54,Petition,1219,1219,403,18,416,978,90,475,7,31.51,"","",1,0,1217,0,0,0,1,1219,0,0,711,27,144.66
11200,cash-investigation-folpel-gouvFrance,2016-02-01 16:04:40,Petition,63362,39094,41275,18390,16794,98672,31427,34714,54,392.77,"","",139,156,121,35,5,61889,1017,6253,12,57097,61225,171,1242.66
11199,cash-investigation-folpel-bayer,2016-02-01 15:13:28,Petition,108,90,65,33,27,104,44,56,"","","","",0,0,0,0,0,107,1,5,0,103,105,1,4.50
11101,aldi-neonics-ban,2016-01-27 05:28:19,Petition,83,69,56,19,23,157,32,46,"","","","",1,0,70,1,0,9,2,83,0,0,70,4,19.70
11096,congress-oppose-tpp,2016-01-26 22:48:23,Petition,694,382,434,74,69,741,133,319,1,0.74,"","",662,2,7,4,3,14,2,690,0,4,527,8,25.74
11086,freeland-oppose-tpp,2016-01-25 23:05:00,Petition,911,536,744,179,157,1150,221,377,4,30.48,"","",12,882,3,4,2,5,3,906,2,3,713,16,203.98
11062,monsanto-hauptversammlung-de,2016-01-21 12:52:57,Petition,1552,675,1167,869,806,1656,1228,1663,"","","","",7,1,2,2,0,1530,10,166,1386,0,3155,3,23.71
11059,usda-bee-research-censorship,2016-01-21 00:14:00,Petition,728,399,479,113,99,933,164,289,3,41.66,"","",691,4,10,4,1,11,7,728,0,0,570,14,168.34
11058,atrazine-in-canada,2016-01-20 22:03:55,Petition,3544,2334,3201,710,636,5551,1018,1304,14,150.74,"","",58,3434,8,4,1,25,14,3512,2,30,2493,76,645.85
11055,neonics-loi-biodiversite-france,2016-01-20 15:52:13,Petition,52896,44232,28174,10622,9515,51415,17675,17113,7,127.54,"","",153,1698,189,57,20,49726,1053,3908,28,48960,34703,135,1086.75
11054,privatised-post-offices,2016-01-20 12:11:52,Petition,114,84,56,16,17,153,35,51,"","","","",1,0,112,0,0,0,1,114,0,0,135,6,53.18
11053,tpp-signing,2016-01-20 11:18:01,Donation,74,4,48,12,13,83,21,93,80,2156.31,2,200.00,8,5,25,15,19,2,0,74,0,0,146,90,2358.41
11052,yahoo-ceo-ivory-japan,2016-01-20 03:42:43,Petition,82,70,42,9,10,97,14,19,1,7.12,"","",13,1,49,3,1,5,10,82,0,0,60,7,43.17
11045,monsanto-agm-shareowner,2016-01-18 20:54:22,Petition,593,182,445,109,105,710,162,503,4,39.59,"","",198,79,100,55,9,120,32,586,1,6,924,33,349.86
11044,walgreens-boots-krill,2016-01-18 18:19:10,Petition,355,140,212,61,70,560,127,245,7,116.29,"","",140,12,132,14,4,41,12,353,1,1,443,22,342.68
11039,EU-Konfliktmineralien-de,2016-01-18 11:09:29,Petition,335,137,257,142,135,387,232,334,"","","","",1,0,2,0,1,327,4,45,290,0,586,"",""
11026,tu-bill-online-voting-yes,2016-01-15 15:25:50,Petition,1026,669,572,125,122,1622,260,470,8,71.22,"","",7,2,1004,0,1,11,1,1026,0,0,1107,63,470.34
11024,german_weather_app,2016-01-15 11:14:39,Petition,13160,13160,4853,891,3315,8873,1523,3801,"","","","",38,11,23,8,1,12973,106,835,12321,4,2087,1,4.50
11000,bc-opposes-kinder-morgan-pipeline,2016-01-12 00:08:25,Petition,1000,277,1122,356,312,2250,891,887,9,115.41,"","",24,958,4,2,0,7,5,992,0,8,2239,88,1184.60
10973,Cargill-Muslim-workers-fired,2016-01-08 01:10:58,Petition,101,96,57,7,12,76,7,17,1,5.00,1,5.00,90,1,2,0,0,1,7,101,0,0,28,1,5.00
10958,NAFTA-TransCanada,2016-01-07 01:08:26,Petition,328,168,191,37,36,341,73,149,1,5.00,"","",309,9,4,1,0,5,0,327,0,1,304,7,77.00
10948,ttip-secrecy,2016-01-06 15:13:35,Petition,198,196,142,32,39,273,64,57,"","","","",1,0,5,0,1,189,2,196,2,0,150,6,114.20
10935,lundgren_bees,2016-01-05 16:20:48,Donation,215,9,161,41,46,311,76,288,248,3647.93,4,15.79,65,19,62,34,4,25,6,214,0,1,450,289,4210.01
10921,shell-corporations-housing-fraud,2016-01-03 01:19:30,Petition,172,39,81,20,19,149,34,135,3,34.14,"","",164,0,7,0,0,0,1,172,0,0,245,7,82.14
10905,fracking-earthquakes,2015-12-23 21:19:56,Petition,992,785,695,150,139,1364,307,360,2,12.82,"","",62,848,23,12,3,27,17,988,0,4,760,18,155.26
10900,nestle-kapseln-brasilien-de,2015-12-23 12:07:38,Petition,2546,1672,1791,1060,992,2664,1592,1946,"","","","",11,0,2,2,1,2512,18,348,2192,6,4093,"",""
10895,abbot-pt-approval,2015-12-22 12:15:40,Petition,817,122,573,141,121,1088,242,414,15,185.60,"","",23,9,17,704,10,44,10,814,0,3,676,44,402.73
10892,Nestle-animal-testing-French,2015-12-21 23:34:43,Petition,231,101,121,42,39,260,82,137,"","","","",0,6,0,0,1,219,5,13,0,218,241,"",""
10870,Bayer-flupyradifurone-french,2015-12-18 20:35:47,Petition,17292,8835,11508,5491,4935,20527,8605,9803,"","","","",42,411,53,10,2,16405,369,1538,20,15734,21539,55,688.12
10862,vodafone-pay-your-taxes,2015-12-17 16:52:23,Petition,179,61,130,29,29,251,51,135,2,9.24,"","",2,0,3,166,2,5,1,179,0,0,236,4,18.97
10858,iphone-headphone-jack-french,2015-12-17 03:02:23,Petition,4602,3249,2800,984,889,4489,1348,1744,"","","","",32,1057,22,7,1,3377,106,545,1,4056,3532,7,45.26
10843,from_china_2015,2015-12-15 19:31:51,Donation,119,0,77,15,17,136,24,152,129,2262.05,1,10.00,18,13,47,12,3,24,2,118,0,1,233,149,2763.13
